year, avg_temp , Glob_Mov_avg ,,year,city,country, avg_temp , Loc_Mov_avg ,Difference,,
1866, 8.290 , 8.024 ,,1866,Abu Dhabi,United Arab Emirates, 26.090 , 25.462 , 17.438 ,,
1867, 8.440 , 8.200 ,,1867,Abu Dhabi,United Arab Emirates, 26.440 , 25.682 , 17.482 ,,
1868, 8.250 , 8.228 ,,1868,Abu Dhabi,United Arab Emirates, 26.330 , 26.224 , 17.996 ,,
1869, 8.430 , 8.318 ,,1869,Abu Dhabi,United Arab Emirates, 26.510 , 26.326 , 18.008 ,,
1870, 8.200 , 8.322 ,,1870,Abu Dhabi,United Arab Emirates, 26.240 , 26.322 , 18.000 ,,
1871, 8.120 , 8.288 ,,1871,Abu Dhabi,United Arab Emirates, 26.170 , 26.338 , 18.050 ,,
1872, 8.190 , 8.238 ,,1872,Abu Dhabi,United Arab Emirates, 26.160 , 26.282 , 18.044 ,,
1873, 8.350 , 8.258 ,,1873,Abu Dhabi,United Arab Emirates, 26.420 , 26.300 , 18.042 ,,
1874, 8.430 , 8.258 ,,1874,Abu Dhabi,United Arab Emirates, 26.300 , 26.258 , 18.000 ,,
1875, 7.860 , 8.190 ,,1875,Abu Dhabi,United Arab Emirates, 26.130 , 26.236 , 18.046 ,,
1876, 8.080 , 8.182 ,,1876,Abu Dhabi,United Arab Emirates, 26.190 , 26.240 , 18.058 ,,
1877, 8.540 , 8.252 ,,1877,Abu Dhabi,United Arab Emirates, 26.590 , 26.326 , 18.074 ,,
1878, 8.830 , 8.348 ,,1878,Abu Dhabi,United Arab Emirates, 26.590 , 26.360 , 18.012 ,,
1879, 8.170 , 8.296 ,,1879,Abu Dhabi,United Arab Emirates, 26.090 , 26.318 , 18.022 ,,
1880, 8.120 , 8.348 ,,1880,Abu Dhabi,United Arab Emirates, 26.200 , 26.332 , 17.984 ,,
1881, 8.270 , 8.386 ,,1881,Abu Dhabi,United Arab Emirates, 26.750 , 26.444 , 18.058 ,,
1882, 8.130 , 8.304 ,,1882,Abu Dhabi,United Arab Emirates, 26.050 , 26.336 , 18.032 ,,
1883, 7.980 , 8.134 ,,1883,Abu Dhabi,United Arab Emirates, 26.300 , 26.278 , 18.144 ,,
1884, 7.770 , 8.054 ,,1884,Abu Dhabi,United Arab Emirates, 26.150 , 26.290 , 18.236 ,,
1885, 7.920 , 8.014 ,,1885,Abu Dhabi,United Arab Emirates, 26.100 , 26.270 , 18.256 ,,
1886, 7.950 , 7.950 ,,1886,Abu Dhabi,United Arab Emirates, 26.380 , 26.196 , 18.246 ,,
1887, 7.910 , 7.906 ,,1887,Abu Dhabi,United Arab Emirates, 26.080 , 26.202 , 18.296 ,,
1888, 8.090 , 7.928 ,,1888,Abu Dhabi,United Arab Emirates, 26.300 , 26.202 , 18.274 ,,
1889, 8.320 , 8.038 ,,1889,Abu Dhabi,United Arab Emirates, 26.610 , 26.294 , 18.256 ,,
1890, 7.970 , 8.048 ,,1890,Abu Dhabi,United Arab Emirates, 26.200 , 26.314 , 18.266 ,,
1891, 8.020 , 8.062 ,,1891,Abu Dhabi,United Arab Emirates, 26.430 , 26.324 , 18.262 ,,
1892, 8.070 , 8.094 ,,1892,Abu Dhabi,United Arab Emirates, 26.550 , 26.418 , 18.324 ,,
1893, 8.060 , 8.088 ,,1893,Abu Dhabi,United Arab Emirates, 26.360 , 26.430 , 18.342 ,,
1894, 8.160 , 8.056 ,,1894,Abu Dhabi,United Arab Emirates, 26.240 , 26.356 , 18.300 ,,
1895, 8.150 , 8.092 ,,1895,Abu Dhabi,United Arab Emirates, 25.980 , 26.312 , 18.220 ,,
1896, 8.210 , 8.130 ,,1896,Abu Dhabi,United Arab Emirates, 26.360 , 26.298 , 18.168 ,,
1897, 8.290 , 8.174 ,,1897,Abu Dhabi,United Arab Emirates, 26.290 , 26.246 , 18.072 ,,
1898, 8.180 , 8.198 ,,1898,Abu Dhabi,United Arab Emirates, 25.920 , 26.158 , 17.960 ,,
1899, 8.400 , 8.246 ,,1899,Abu Dhabi,United Arab Emirates, 26.570 , 26.224 , 17.978 ,,
1900, 8.500 , 8.316 ,,1900,Abu Dhabi,United Arab Emirates, 26.430 , 26.314 , 17.998 ,,
1901, 8.540 , 8.382 ,,1901,Abu Dhabi,United Arab Emirates, 26.530 , 26.348 , 17.966 ,,
1902, 8.300 , 8.384 ,,1902,Abu Dhabi,United Arab Emirates, 26.810 , 26.452 , 18.068 ,,
1903, 8.220 , 8.392 ,,1903,Abu Dhabi,United Arab Emirates, 25.880 , 26.444 , 18.052 ,,
1904, 8.090 , 8.330 ,,1904,Abu Dhabi,United Arab Emirates, 26.490 , 26.428 , 18.098 ,,
1905, 8.230 , 8.276 ,,1905,Abu Dhabi,United Arab Emirates, 26.300 , 26.402 , 18.126 ,,
1906, 8.380 , 8.244 ,,1906,Abu Dhabi,United Arab Emirates, 26.240 , 26.344 , 18.100 ,,
1907, 7.950 , 8.174 ,,1907,Abu Dhabi,United Arab Emirates, 26.170 , 26.216 , 18.042 ,,
1908, 8.190 , 8.168 ,,1908,Abu Dhabi,United Arab Emirates, 26.340 , 26.308 , 18.140 ,,
1909, 8.180 , 8.186 ,,1909,Abu Dhabi,United Arab Emirates, 26.570 , 26.324 , 18.138 ,,
1910, 8.220 , 8.184 ,,1910,Abu Dhabi,United Arab Emirates, 25.890 , 26.242 , 18.058 ,,
1911, 8.180 , 8.144 ,,1911,Abu Dhabi,United Arab Emirates, 25.620 , 26.118 , 17.974 ,,
1912, 8.170 , 8.188 ,,1912,Abu Dhabi,United Arab Emirates, 26.350 , 26.154 , 17.966 ,,
1913, 8.300 , 8.210 ,,1913,Abu Dhabi,United Arab Emirates, 26.450 , 26.176 , 17.966 ,,
1914, 8.590 , 8.292 ,,1914,Abu Dhabi,United Arab Emirates, 26.560 , 26.174 , 17.882 ,,
1915, 8.590 , 8.366 ,,1915,Abu Dhabi,United Arab Emirates, 26.900 , 26.376 , 18.010 ,,
1916, 8.230 , 8.376 ,,1916,Abu Dhabi,United Arab Emirates, 25.900 , 26.432 , 18.056 ,,
1917, 8.020 , 8.346 ,,1917,Abu Dhabi,United Arab Emirates, 26.040 , 26.370 , 18.024 ,,
1918, 8.130 , 8.312 ,,1918,Abu Dhabi,United Arab Emirates, 26.030 , 26.286 , 17.974 ,,
1919, 8.380 , 8.270 ,,1919,Abu Dhabi,United Arab Emirates, 26.240 , 26.222 , 17.952 ,,
1920, 8.360 , 8.224 ,,1920,Abu Dhabi,United Arab Emirates, 26.200 , 26.082 , 17.858 ,,
1921, 8.570 , 8.292 ,,1921,Abu Dhabi,United Arab Emirates, 26.060 , 26.114 , 17.822 ,,
1922, 8.410 , 8.370 ,,1922,Abu Dhabi,United Arab Emirates, 26.770 , 26.260 , 17.890 ,,
1923, 8.420 , 8.428 ,,1923,Abu Dhabi,United Arab Emirates, 26.320 , 26.318 , 17.890 ,,
1924, 8.510 , 8.454 ,,1924,Abu Dhabi,United Arab Emirates, 27.030 , 26.476 , 18.022 ,,
1925, 8.530 , 8.488 ,,1925,Abu Dhabi,United Arab Emirates, 26.260 , 26.488 , 18.000 ,,
1926, 8.730 , 8.520 ,,1926,Abu Dhabi,United Arab Emirates, 26.650 , 26.606 , 18.086 ,,
1927, 8.520 , 8.542 ,,1927,Abu Dhabi,United Arab Emirates, 26.350 , 26.522 , 17.980 ,,
1928, 8.630 , 8.584 ,,1928,Abu Dhabi,United Arab Emirates, 26.340 , 26.526 , 17.942 ,,
1929, 8.240 , 8.530 ,,1929,Abu Dhabi,United Arab Emirates, 26.600 , 26.440 , 17.910 ,,
1930, 8.630 , 8.550 ,,1930,Abu Dhabi,United Arab Emirates, 26.380 , 26.464 , 17.914 ,,
1931, 8.720 , 8.548 ,,1931,Abu Dhabi,United Arab Emirates, 26.540 , 26.442 , 17.894 ,,
1932, 8.710 , 8.586 ,,1932,Abu Dhabi,United Arab Emirates, 26.230 , 26.418 , 17.832 ,,
1933, 8.340 , 8.528 ,,1933,Abu Dhabi,United Arab Emirates, 26.060 , 26.362 , 17.834 ,,
1934, 8.630 , 8.606 ,,1934,Abu Dhabi,United Arab Emirates, 26.170 , 26.276 , 17.670 ,,
1935, 8.520 , 8.584 ,,1935,Abu Dhabi,United Arab Emirates, 26.440 , 26.288 , 17.704 ,,
1936, 8.550 , 8.550 ,,1936,Abu Dhabi,United Arab Emirates, 26.240 , 26.228 , 17.678 ,,
1937, 8.700 , 8.548 ,,1937,Abu Dhabi,United Arab Emirates, 26.220 , 26.226 , 17.678 ,,
1938, 8.860 , 8.652 ,,1938,Abu Dhabi,United Arab Emirates, 26.290 , 26.272 , 17.620 ,,
1939, 8.760 , 8.678 ,,1939,Abu Dhabi,United Arab Emirates, 26.130 , 26.264 , 17.586 ,,
1940, 8.760 , 8.726 ,,1940,Abu Dhabi,United Arab Emirates, 26.490 , 26.274 , 17.548 ,,
1941, 8.770 , 8.770 ,,1941,Abu Dhabi,United Arab Emirates, 26.880 , 26.402 , 17.632 ,,
1942, 8.730 , 8.776 ,,1942,Abu Dhabi,United Arab Emirates, 26.870 , 26.532 , 17.756 ,,
1943, 8.760 , 8.756 ,,1943,Abu Dhabi,United Arab Emirates, 26.420 , 26.558 , 17.802 ,,
1944, 8.850 , 8.774 ,,1944,Abu Dhabi,United Arab Emirates, 26.890 , 26.710 , 17.936 ,,
1945, 8.580 , 8.738 ,,1945,Abu Dhabi,United Arab Emirates, 26.450 , 26.702 , 17.964 ,,
1946, 8.680 , 8.720 ,,1946,Abu Dhabi,United Arab Emirates, 26.600 , 26.646 , 17.926 ,,
1947, 8.800 , 8.734 ,,1947,Abu Dhabi,United Arab Emirates, 26.850 , 26.642 , 17.908 ,,
1948, 8.750 , 8.732 ,,1948,Abu Dhabi,United Arab Emirates, 26.690 , 26.696 , 17.964 ,,
1949, 8.590 , 8.680 ,,1949,Abu Dhabi,United Arab Emirates, 26.290 , 26.576 , 17.896 ,,
1950, 8.370 , 8.638 ,,1950,Abu Dhabi,United Arab Emirates, 25.970 , 26.480 , 17.842 ,,
1951, 8.630 , 8.628 ,,1951,Abu Dhabi,United Arab Emirates, 26.690 , 26.498 , 17.870 ,,
1952, 8.640 , 8.596 ,,1952,Abu Dhabi,United Arab Emirates, 26.680 , 26.464 , 17.868 ,,
1953, 8.870 , 8.620 ,,1953,Abu Dhabi,United Arab Emirates, 26.890 , 26.504 , 17.884 ,,
1954, 8.560 , 8.614 ,,1954,Abu Dhabi,United Arab Emirates, 26.890 , 26.624 , 18.010 ,,
1955, 8.630 , 8.666 ,,1955,Abu Dhabi,United Arab Emirates, 26.620 , 26.754 , 18.088 ,,
1956, 8.280 , 8.596 ,,1956,Abu Dhabi,United Arab Emirates, 26.560 , 26.728 , 18.132 ,,
1957, 8.730 , 8.614 ,,1957,Abu Dhabi,United Arab Emirates, 26.260 , 26.644 , 18.030 ,,
1958, 8.770 , 8.594 ,,1958,Abu Dhabi,United Arab Emirates, 26.890 , 26.644 , 18.050 ,,
1959, 8.730 , 8.628 ,,1959,Abu Dhabi,United Arab Emirates, 26.430 , 26.552 , 17.924 ,,
1960, 8.580 , 8.618 ,,1960,Abu Dhabi,United Arab Emirates, 26.660 , 26.560 , 17.942 ,,
1961, 8.800 , 8.722 ,,1961,Abu Dhabi,United Arab Emirates, 26.570 , 26.562 , 17.840 ,,
1962, 8.750 , 8.726 ,,1962,Abu Dhabi,United Arab Emirates, 26.750 , 26.660 , 17.934 ,,
1963, 8.860 , 8.744 ,,1963,Abu Dhabi,United Arab Emirates, 26.610 , 26.604 , 17.860 ,,
1964, 8.410 , 8.680 ,,1964,Abu Dhabi,United Arab Emirates, 25.890 , 26.496 , 17.816 ,,
1965, 8.530 , 8.670 ,,1965,Abu Dhabi,United Arab Emirates, 26.630 , 26.490 , 17.820 ,,
1966, 8.600 , 8.630 ,,1966,Abu Dhabi,United Arab Emirates, 26.760 , 26.528 , 17.898 ,,
1967, 8.700 , 8.620 ,,1967,Abu Dhabi,United Arab Emirates, 26.470 , 26.472 , 17.852 ,,
1968, 8.520 , 8.552 ,,1968,Abu Dhabi,United Arab Emirates, 26.200 , 26.390 , 17.838 ,,
1969, 8.600 , 8.590 ,,1969,Abu Dhabi,United Arab Emirates, 27.090 , 26.630 , 18.040 ,,
1970, 8.700 , 8.624 ,,1970,Abu Dhabi,United Arab Emirates, 27.240 , 26.752 , 18.128 ,,
1971, 8.600 , 8.624 ,,1971,Abu Dhabi,United Arab Emirates, 26.470 , 26.694 , 18.070 ,,
1972, 8.500 , 8.584 ,,1972,Abu Dhabi,United Arab Emirates, 26.160 , 26.632 , 18.048 ,,
1973, 8.950 , 8.670 ,,1973,Abu Dhabi,United Arab Emirates, 26.540 , 26.700 , 18.030 ,,
1974, 8.470 , 8.644 ,,1974,Abu Dhabi,United Arab Emirates, 26.460 , 26.574 , 17.930 ,,
1975, 8.740 , 8.652 ,,1975,Abu Dhabi,United Arab Emirates, 26.490 , 26.424 , 17.772 ,,
1976, 8.350 , 8.602 ,,1976,Abu Dhabi,United Arab Emirates, 26.430 , 26.416 , 17.814 ,,
1977, 8.850 , 8.672 ,,1977,Abu Dhabi,United Arab Emirates, 27.430 , 26.670 , 17.998 ,,
1978, 8.690 , 8.620 ,,1978,Abu Dhabi,United Arab Emirates, 26.890 , 26.740 , 18.120 ,,
1979, 8.730 , 8.672 ,,1979,Abu Dhabi,United Arab Emirates, 26.960 , 26.840 , 18.168 ,,
1980, 8.980 , 8.720 ,,1980,Abu Dhabi,United Arab Emirates, 27.160 , 26.974 , 18.254 ,,
1981, 9.170 , 8.884 ,,1981,Abu Dhabi,United Arab Emirates, 26.930 , 27.074 , 18.190 ,,
1982, 8.640 , 8.842 ,,1982,Abu Dhabi,United Arab Emirates, 26.160 , 26.820 , 17.978 ,,
1983, 9.030 , 8.910 ,,1983,Abu Dhabi,United Arab Emirates, 26.190 , 26.680 , 17.770 ,,
1984, 8.690 , 8.902 ,,1984,Abu Dhabi,United Arab Emirates, 26.290 , 26.546 , 17.644 ,,
1985, 8.660 , 8.838 ,,1985,Abu Dhabi,United Arab Emirates, 26.630 , 26.440 , 17.602 ,,
1986, 8.830 , 8.770 ,,1986,Abu Dhabi,United Arab Emirates, 26.700 , 26.394 , 17.624 ,,
1987, 8.990 , 8.840 ,,1987,Abu Dhabi,United Arab Emirates, 26.910 , 26.544 , 17.704 ,,
1988, 9.200 , 8.874 ,,1988,Abu Dhabi,United Arab Emirates, 26.950 , 26.696 , 17.822 ,,
1989, 8.920 , 8.920 ,,1989,Abu Dhabi,United Arab Emirates, 26.380 , 26.714 , 17.794 ,,
1990, 9.230 , 9.034 ,,1990,Abu Dhabi,United Arab Emirates, 27.110 , 26.810 , 17.776 ,,
1991, 9.180 , 9.104 ,,1991,Abu Dhabi,United Arab Emirates, 26.460 , 26.762 , 17.658 ,,
1992, 8.840 , 9.074 ,,1992,Abu Dhabi,United Arab Emirates, 26.100 , 26.600 , 17.526 ,,
1993, 8.870 , 9.008 ,,1993,Abu Dhabi,United Arab Emirates, 27.020 , 26.614 , 17.606 ,,
1994, 9.040 , 9.032 ,,1994,Abu Dhabi,United Arab Emirates, 27.250 , 26.788 , 17.756 ,,
1995, 9.350 , 9.056 ,,1995,Abu Dhabi,United Arab Emirates, 26.750 , 26.716 , 17.660 ,,
1996, 9.040 , 9.028 ,,1996,Abu Dhabi,United Arab Emirates, 27.200 , 26.864 , 17.836 ,,
1997, 9.200 , 9.100 ,,1997,Abu Dhabi,United Arab Emirates, 26.870 , 27.018 , 17.918 ,,
1998, 9.520 , 9.230 ,,1998,Abu Dhabi,United Arab Emirates, 28.190 , 27.252 , 18.022 ,,
1999, 9.290 , 9.280 ,,1999,Abu Dhabi,United Arab Emirates, 28.160 , 27.434 , 18.154 ,,
2000, 9.200 , 9.250 ,,2000,Abu Dhabi,United Arab Emirates, 27.670 , 27.618 , 18.368 ,,
2001, 9.410 , 9.324 ,,2001,Abu Dhabi,United Arab Emirates, 27.820 , 27.742 , 18.418 ,,
2002, 9.570 , 9.398 ,,2002,Abu Dhabi,United Arab Emirates, 28.000 , 27.968 , 18.570 ,,
2003, 9.530 , 9.400 ,,2003,Abu Dhabi,United Arab Emirates, 28.120 , 27.954 , 18.554 ,,
2004, 9.320 , 9.406 ,,2004,Abu Dhabi,United Arab Emirates, 28.070 , 27.936 , 18.530 ,,
2005, 9.700 , 9.506 ,,2005,Abu Dhabi,United Arab Emirates, 27.900 , 27.982 , 18.476 ,,
2006, 9.530 , 9.530 ,,2006,Abu Dhabi,United Arab Emirates, 27.940 , 28.006 , 18.476 ,,
2007, 9.730 , 9.562 ,,2007,Abu Dhabi,United Arab Emirates, 28.080 , 28.022 , 18.460 ,,
2008, 9.430 , 9.542 ,,2008,Abu Dhabi,United Arab Emirates, 27.590 , 27.916 , 18.374 ,,
2009, 9.510 , 9.580 ,,2009,Abu Dhabi,United Arab Emirates, 28.040 , 27.910 , 18.330 ,,
2010, 9.700 , 9.580 ,,2010,Abu Dhabi,United Arab Emirates, 28.690 , 28.068 , 18.488 ,,
2011, 9.520 , 9.578 ,,2011,Abu Dhabi,United Arab Emirates, 28.250 , 28.130 , 18.552 ,,
2012, 9.510 , 9.534 ,,2012,Abu Dhabi,United Arab Emirates, 28.460 , 28.206 , 18.672 ,,
2013, 9.610 , 9.570 ,,2013,Abu Dhabi,United Arab Emirates, 28.010 , 28.290 , 18.720 ,,
,,,,,,,,,,,
,,,,,,,, 26.549 , 17.975 ,,
,,,,,,,,, 0.288 ,,
,,,,,,,,,,,
,,,,,,,,,,,
